0,1,2,3,4
Percent Data,Training Time Face,Accuracy Face,Train Time Digit,Accuracy Digit
10,0.01312589700000899,52.0,0.21974521699999627,64.7
20,0.03022208899999157,80.66666666666666,0.44580854200000886,73.1
30,0.04414926299999422,77.33333333333333,0.7181107370000035,78.2
40,0.05252040899999599,83.33333333333334,0.994065324999994,79.10000000000001
50,0.06795108900000457,85.33333333333334,1.1924361389999945,82.0
60,0.10829631000000006,86.66666666666667,1.4182569769999986,82.39999999999999
70,0.1126181200000076,90.0,2.0225642820000047,82.6
80,0.350627369999998,89.33333333333333,2.315543224999999,81.3
90,0.11945560399999522,89.33333333333333,2.51155636,83.2
100,0.13961445200000355,92.0,2.5672222759999954,82.89999999999999
