0,1,2,3,4
Percent Data,Training Time Face,Accuracy Face,Train Time Digit,Accuracy Digit
10,0.04345683899987307,72.66666666666667,0.7117268130000411,77.3
20,0.08748833399999967,80.0,1.423317187000066,79.60000000000001
30,0.13124633000006725,80.66666666666666,2.1129102879999664,82.69999999999999
40,0.1758463109999866,87.33333333333333,2.77461121500005,84.3
50,0.22510387400006948,89.33333333333333,3.4720513580000443,84.0
60,0.27422938299991984,89.33333333333333,4.2046756889999415,84.2
70,0.3364669570000842,89.33333333333333,5.518414433000089,84.1
80,0.3865808770001422,89.33333333333333,6.753540645999919,85.1
90,0.4582347040000059,89.33333333333333,6.270006577000004,85.2
100,0.4643803169999501,91.33333333333333,6.936562116000005,85.0
