0,1,2,3,4
Percent Data,Training Time Face,Accuracy Face,Train Time Digit,Accuracy Digit
10,0.02611665400002039,71.33333333333334,0.46294453299998395,73.4
20,0.05790025600003901,80.0,0.849745519999999,79.3
30,0.07948915999998007,84.66666666666667,1.2752427240000088,80.7
40,0.11611370199995008,88.66666666666667,1.7095523330000333,81.6
50,0.13656351700001323,90.66666666666666,2.648493309999992,81.69999999999999
60,0.18084157199996298,88.0,2.7183832029999735,83.3
70,0.24787414600001512,90.0,3.6997330020000163,83.39999999999999
80,0.23250677900000483,90.0,3.3856372360000364,84.1
90,0.24541498300004605,90.0,3.7729382829999736,84.1
100,0.30435018299999683,90.66666666666666,4.417012130000046,84.2
