0,1,2,3,4
Percent Data,Training Time Face,Accuracy Face,Train Time Digit,Accuracy Digit
10,0.03491832700001396,66.66666666666666,0.6010773680000057,78.3
20,0.073393575999944,78.0,1.4818659129999787,80.9
30,0.20370835699998224,80.66666666666666,2.310521174000087,81.8
40,0.15176786699998956,88.0,2.322418737000021,82.19999999999999
50,0.17926603399996566,85.33333333333334,2.9832244839999476,82.69999999999999
60,0.2340843429999495,87.33333333333333,3.7452721050000264,83.5
70,0.3188049719999526,88.66666666666667,4.599039864000019,83.8
80,0.3011155780000081,89.33333333333333,4.584841842999936,84.39999999999999
90,0.3498318150000159,90.0,5.110868384000014,84.8
100,0.37105574099996375,90.66666666666666,5.539108421000037,84.6
