0,1,2,3,4
Percent Data,Training Time Face,Accuracy Face,Train Time Digit,Accuracy Digit
10,0.0045687930000006816,54.666666666666664,0.06849229800000067,53.900000000000006
20,0.008690667999999846,66.66666666666666,0.1860521850000012,60.199999999999996
30,0.01380646299999988,75.33333333333333,0.24519338300000015,69.89999999999999
40,0.017928121999998936,85.33333333333334,0.30887398600000004,71.89999999999999
50,0.021880756999999917,82.66666666666667,0.3678017620000009,74.8
60,0.02893624000000017,84.0,0.45324222500000033,75.8
70,0.030788484000000338,86.66666666666667,0.5001975860000005,78.2
80,0.038143978999999106,86.66666666666667,0.5691027730000009,76.9
90,0.039743511000001064,89.33333333333333,0.6354466589999994,78.7
100,0.04721481700000041,86.0,0.7251735410000002,78.5
