0,1,2,3,4
Percent Data,Training Time Face,Accuracy Face,Train Time Digit,Accuracy Digit
10,0.008650919000004365,54.0,0.13979291900000135,67.2
20,0.07405316900000258,83.33333333333334,0.30873430599999807,71.3
30,0.026725722999998425,82.0,0.4517174670000017,78.2
40,0.03542893299999861,83.33333333333334,0.6533916349999984,78.10000000000001
50,0.045032329000001425,80.0,0.8760619990000009,79.5
60,0.05307158499999787,88.66666666666667,1.1381272980000006,78.60000000000001
70,0.06271104100000002,89.33333333333333,1.0464261890000017,81.0
80,0.07160948099999587,86.0,1.2427865900000015,81.2
90,0.10120875100000148,88.66666666666667,1.2687367810000012,82.39999999999999
100,0.10685851200000229,90.66666666666666,1.641149469999995,80.60000000000001
