0,1,2,3,4
Percent Data,Training Time Face,Accuracy Face,Train Time Digit,Accuracy Digit
10,0.022339957999975013,59.333333333333336,0.3608406930000001,72.2
20,0.04382923700001129,80.66666666666666,0.7038773219999825,78.9
30,0.06710729399998172,84.0,1.0525759490000155,80.30000000000001
40,0.08780644500001245,84.0,1.4301786390000188,82.1
50,0.10993331499997794,91.33333333333333,1.7608907019999833,81.6
60,0.1318636750000337,86.0,2.1027660440000204,82.6
70,0.1573018230000116,90.0,2.4438574320000157,83.1
80,0.17592759600000818,88.0,2.7832970229999887,83.8
90,0.19806124100000488,89.33333333333333,3.1276883989999646,83.6
100,0.2273018470000352,90.0,3.4754951390000315,83.8
