0,1,2,3,4
Percent Data,Training Time Face,Accuracy Face,Train Time Digit,Accuracy Digit
10,0.004508422999997208,56.666666666666664,0.06935322299999669,57.699999999999996
20,0.008712019000000737,74.0,0.15759436000000093,60.9
30,0.014489164000000443,50.66666666666667,0.21236866799999987,69.8
40,0.01976464199999839,83.33333333333334,0.2977865709999996,72.1
50,0.021990594999998336,78.66666666666666,0.35679271000000057,74.1
60,0.026579870999999144,72.66666666666667,0.428230070999998,74.8
70,0.03132381400000028,83.33333333333334,0.4957085749999983,79.2
80,0.03544759999999769,83.33333333333334,0.575414803000001,77.5
90,0.03984894299999908,86.66666666666667,0.6397685170000003,79.80000000000001
100,0.045557304999999104,88.0,0.7088200779999987,80.0
