0,1,2,3,4
Percent Data,Training Time Face,Accuracy Face,Train Time Digit,Accuracy Digit
10,0.03902724700003546,77.33333333333333,0.6213435130000562,74.6
20,0.07844213999999283,87.33333333333333,1.2398907949999511,81.8
30,0.11813775400003124,78.66666666666666,1.8582681520000506,81.39999999999999
40,0.15807280900003207,85.33333333333334,2.476690115999986,82.6
50,0.21385064899993722,90.66666666666666,3.100457663000043,83.39999999999999
60,0.24524172600001748,91.33333333333333,3.7073802200000046,84.39999999999999
70,0.2913132380000434,90.0,4.313186776999942,83.3
80,0.33217148400001406,91.33333333333333,4.935545252999987,84.6
90,0.3689498399999138,92.66666666666666,5.552389241000014,85.1
100,0.4058105550000164,91.33333333333333,6.171906407999927,84.39999999999999
