0,1,2,3,4
Percent Data,Training Time Face,Accuracy Face,Train Time Digit,Accuracy Digit
10,0.043622701999993296,73.33333333333333,0.6887561639998694,74.5
20,0.08769216900009269,74.66666666666667,1.4370083380001688,79.80000000000001
30,0.13301899699990827,85.33333333333334,2.1321980200000326,81.6
40,0.17943371399996977,87.33333333333333,3.348355940000147,82.8
50,0.23222542099983912,88.66666666666667,4.3466306359998725,83.8
60,0.46635777899996356,89.33333333333333,5.1407909229999404,83.7
70,0.346703529000024,90.66666666666666,5.306915566000043,84.2
80,0.44840185599991855,88.0,6.043194052999979,84.3
90,0.41620142400006443,91.33333333333333,6.957795377999901,84.8
100,0.46086205799997515,90.66666666666666,6.959510823999835,84.89999999999999
